Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
sample payroll check,75,75,170,44,15.17,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.31,16900000,"[22,100,22,22,4,4,4,66,54,43,29,43]",2025-11-28,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches",informational,Organic
make free check stubs,30,30,170,,9.56,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.91,12900000,"[7,7,7,5,8,5,7,5,13,16,13,8]",2026-01-01,"Sitelinks, Video, Related searches",informational,Organic
small business check stubs,48,48,50,54,26.24,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.9,2350000,"[7,7,7,15,7,7,11,7,42,42,34,34]",2026-01-04,"Sitelinks, Video, Related searches",commercial,Organic
real payroll check,36,36,170,51,54.70,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.92,106000000,"[23,29,23,29,19,19,29,23,23,29,36,36]",2025-12-19,"Image pack, Sitelinks, Video, Ads bottom, Video Carousel, Related searches, AI overview",informational,Organic
paycheck stub sample,31,31,110,36,3.18,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.19,1330000,"[2,0,0,4,81,0,0,100,0,22,14,18]",2025-11-28,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
paystubs generator,33,33,1300,69,8.79,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.84,361000,"[16,16,19,19,19,23,19,29,12,7,7,5]",2025-11-29,"Sitelinks, Video, Ads top, Related searches, Ads middle",commercial,Organic
simple paystub template,9,9,40,40,5.54,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.34,1370000,"[18,18,18,36,36,100,81,63,18,27,27,36]",2025-12-12,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
free sample timesheet,28,28,260,44,3.17,https://www.xero.com/us/templates/timesheet-template/,0,0,0.00,0.34,271000,"[15,28,44,44,100,23,54,81,23,23,81,44]",2026-01-13,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
invoice for rental,10,14,90,25,3.76,https://www.xero.com/us/templates/invoice-template/rental-template/,0,0,0.00,1,188000000,"[23,29,41,41,100,41,29,64,41,52,64,41]",2026-01-20,"Image pack, Video, Image, Ads top, Ads bottom, Video Carousel, People also ask, Related searches","commercial, informational",Organic
check stub example,12,12,390,24,2.58,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.44,26800000,"[44,29,66,44,54,54,66,44,44,44,66,44]",2026-01-06,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
fake paystub template,32,32,50,50,1.81,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.11,27700,"[50,35,28,28,35,28,35,28,14,35,35,78]",2025-11-28,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
stub maker free,28,28,40,45,6.91,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.99,3370000,"[27,63,18,36,18,36,18,36,45,45,45,63]",2026-01-13,"Sitelinks, Video, Related searches",informational,Organic
check stub maker photos,86,86,140,51,4.57,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.81,581000,"[66,100,80,100,80,66,80,100,66,52,23,14]",2026-01-16,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
invoice template sample free,16,16,30,64,3.49,https://www.xero.com/us/templates/invoice-template/,0,0,0.00,0.63,11900000,"[0,0,0,3,0,0,15,3,3,100,15,3]",2026-01-09,"Image pack, Video, Image, Ads bottom, Related searches",informational,Organic
free paycheck stub download,9,9,40,41,8.74,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.04,3140000,"[28,28,28,28,100,71,71,57,42,57,57,42]",2025-12-16,"Sitelinks, Video, Ads bottom, Related searches, AI overview",informational,Organic
check and check stub template,11,11,90,40,5.01,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.71,1580000,"[14,29,22,18,14,100,4,0,8,10,8,10]",2025-12-29,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
paystub example pdf,32,32,170,32,3.72,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.54,3940000,"[12,12,21,65,65,53,81,34,65,53,100,65]",2025-12-25,"Image pack, Ads bottom, People also ask, Related searches",informational,Organic
paycheck stubs online,78,78,720,51,9.26,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.5,0,"[34,7,44,100,24,8,16,24,7,11,13,24]",2025-11-23,"Sitelinks, Video, Ads bottom, Related searches, AI overview",commercial,Organic
printable pdf rent receipt template,17,17,50,28,0.00,https://www.xero.com/us/templates/receipt-template/rent-receipt-template/,0,0,0.00,0.91,136000,"[100,100,100,18,100,18,18,18,18,18,18,18]",2026-01-04,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
create my own paystub,41,41,30,59,16.32,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.92,2150000,"[20,40,60,40,60,40,60,80,60,40,60,40]",2025-12-24,"Sitelinks, Video, Ads top, Ads bottom, Video Carousel, Related searches, AI overview","informational, transactional",Organic
fake payroll,75,0,30,58,4.31,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.66,40400000,"[40,40,80,80,60,40,40,40,80,60,40,60]",2026-01-20,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
pdf check stub,25,25,50,39,6.28,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.39,37800000,"[35,28,35,64,7,28,50,35,50,78,50,50]",2025-12-03,"Image pack, Sitelinks, Video, Related searches",informational,Organic
po format,44,44,1000,24,5.92,https://www.xero.com/us/templates/purchase-order-template/,0,0,0.00,1,1200000000,"[62,62,81,100,100,62,45,36,36,45,45,36]",2025-12-25,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
sample invoices template,17,17,30,61,2.61,https://www.xero.com/us/templates/invoice-template/,0,0,0.00,1,29700000,"[17,10,28,2,17,2,0,0,2,0,5,0]",2025-12-28,"Image pack, Sitelinks, Image, Ads bottom, Related searches",informational,Organic
sample pay stub template excel,36,36,210,31,5.44,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.52,107000,"[66,43,43,35,54,22,29,66,66,29,22,54]",2025-12-02,"Image pack, Sitelinks, Video, Image, People also ask, Related searches","commercial, informational",Organic
sample pay stub template excel,41,41,210,31,5.44,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.52,107000,"[66,43,43,35,54,22,29,66,66,29,22,54]",2025-12-02,"Image pack, Sitelinks, Video, Image, People also ask, Related searches","commercial, informational",Organic
online paystub creator,46,46,30,52,4.92,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.67,91600,"[18,18,18,18,18,18,100,18,18,18,27,63]",2026-01-05,"Sitelinks, Video, Related searches",informational,Organic
make receipts for free,38,38,50,50,3.02,https://www.xero.com/us/templates/receipt-generator/,0,0,0.00,0.73,76800000,"[4,80,0,0,0,0,0,0,0,66,66,100]",2026-01-09,"Sitelinks, Video, Ads top, Ads bottom, Related searches",commercial,Organic
printable time sheet,20,20,320,36,2.39,https://www.xero.com/us/templates/timesheet-template/,0,0,0.00,0.86,366000000,"[13,16,36,10,16,20,20,16,16,16,36,55]",2025-12-22,"Image pack, Video, Image, Ads bottom, Related searches",informational,Organic
free pay stub template with calculator no watermark,33,33,210,26,3.34,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.67,26200,"[13,16,10,10,10,10,16,10,13,10,10,10]",2026-01-05,"Video, Ads bottom, Related searches, AI overview",informational,Organic
rent paid receipt,30,30,110,27,1.44,https://www.xero.com/us/templates/receipt-template/rent-receipt-template/,0,0,0.00,1,113000000,"[28,17,43,17,12,10,12,66,17,35,35,35]",2025-12-16,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
time cards templates,54,54,170,43,3.51,https://www.xero.com/us/templates/timesheet-template/,0,0,0.00,1,213000000,"[6,12,12,36,44,54,23,19,23,9,54,19]",2025-12-28,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
balance sheet template simple,13,13,140,31,5.02,https://www.xero.com/us/templates/balance-sheet-template/,0,0,0.00,0.76,23200000,"[65,42,100,65,34,80,65,42,42,26,34,53]",2026-01-12,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
paystub generator online,47,47,1000,58,11.16,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.07,228000,"[1,2,5,2,3,13,7,8,28,100,19,15]",2025-12-03,"Sitelinks, Video, Related searches",informational,Organic
receipt of check template,14,14,90,24,2.45,https://www.xero.com/us/templates/receipt-template/,0,0,0.00,0.86,36100000,"[41,52,29,52,52,52,64,52,52,52,52,29]",2026-01-16,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
receipt of money template,19,19,50,34,1.17,https://www.xero.com/us/templates/receipt-template/,0,0,0.00,0.9,97100000,"[19,100,0,0,0,0,33,0,0,33,66,23]",2025-12-13,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
receipt of money template,20,20,50,34,1.17,https://www.xero.com/us/templates/receipt-template/,0,0,0.00,0.9,97100000,"[19,100,0,0,0,0,33,0,0,33,66,23]",2025-12-13,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
receipt of money template,53,53,50,34,1.17,https://www.xero.com/us/templates/receipt-template/cash-receipt-template/,0,0,0.00,0.9,97100000,"[19,100,0,0,0,0,33,0,0,33,66,23]",2025-12-13,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
billing invoice example,22,22,210,59,3.42,https://www.xero.com/us/templates/invoice-template/,0,0,0.00,0.99,18300000,"[65,53,81,65,81,65,65,53,34,65,65,53]",2026-01-03,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
invoice statement sample,53,53,50,55,4.30,https://www.xero.com/us/templates/billing-statement-template/,0,0,0.00,0.27,32800000,"[63,100,81,81,63,0,27,63,45,63,27,9]",2025-12-10,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
receipt usa,2,2,40,,0.00,https://www.xero.com/us/templates/receipt-generator/,0,0,0.00,0.01,558000000,"[78,50,14,14,100,14,14,14,14,14,0,14]",2026-01-13,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,People also ask
templates for timesheets,26,26,30,32,2.88,https://www.xero.com/us/templates/timesheet-template/,0,0,0.00,0.31,924000,"[23,33,52,52,0,0,0,0,19,0,0,0]",2025-12-12,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
download invoice,29,29,70,64,5.31,https://www.xero.com/us/templates/invoice-template/,0,0,0.00,0.66,389000000,"[19,3,19,15,34,53,26,26,34,42,26,34]",2025-12-18,"Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches",informational,Organic
hospital bill template,21,21,90,18,3.56,https://www.xero.com/us/templates/invoice-template/medical-template/,0,0,0.00,0.65,54500000,"[78,64,100,50,50,50,64,50,50,50,50,35]",2025-12-22,"Image pack, Video, Image, Ads bottom, Related searches",informational,Organic
purchase order template for word,55,55,30,23,3.23,https://www.xero.com/us/templates/purchase-order-template/,0,0,0.00,0.79,36400000,"[0,0,0,9,15,0,1,0,6,5,6,6]",2025-12-23,"Image pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches","informational, transactional",Organic
invoices free printable,59,59,70,58,2.49,https://www.xero.com/us/templates/invoice-template/,0,0,0.00,0.61,28100000,"[41,17,100,23,0,0,52,41,29,29,64,29]",2025-11-29,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
online receipt sample,59,59,110,57,2.37,https://www.xero.com/us/templates/receipt-template/,0,0,0.00,0.39,89900000,"[52,42,66,66,52,23,66,66,66,80,33,66]",2025-12-13,"Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
charitable receipts for donations,29,29,40,30,1.43,https://www.xero.com/us/templates/receipt-template/donation-receipt/,0,0,0.00,0.75,8820000,"[57,57,71,100,71,57,57,28,42,42,0,57]",2026-01-09,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
payroll check real pay stub,15,15,140,58,18.58,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.84,422000,"[11,8,18,18,18,15,28,28,35,28,35,18]",2025-12-27,"Sitelinks, Video, Ads bottom, Video Carousel, Related searches",commercial,Organic
cash flow projection sample,55,55,320,9,6.29,https://www.xero.com/us/templates/cash-flow-projection-template/,0,0,0.00,0.21,8020000,"[19,19,66,54,15,100,36,44,66,15,23,23]",2025-12-03,"Image pack, Video, Image, Ads bottom, People also ask, Related searches, Things to know",informational,Organic
sample of construction invoice,43,43,110,40,5.63,https://www.xero.com/us/templates/invoice-template/construction-template/,0,0,0.00,1,26000000,"[0,0,0,0,2,4,4,4,4,81,100,81]",2026-01-08,"Image pack, Image, People also ask, Related searches",informational,Organic
free expense report template word,41,41,260,27,4.90,https://www.xero.com/us/templates/expense-report-template/,0,0,0.00,0.19,5400000,"[66,44,66,54,23,23,100,66,11,23,28,18]",2025-12-03,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
purchase order form templates,43,43,50,33,3.75,https://www.xero.com/us/templates/purchase-order-template/,0,0,0.00,0.98,37900000,"[27,27,18,0,0,0,0,81,100,45,100,100]",2026-01-04,"Image pack, Video, Image, Ads bottom, Related searches","informational, transactional",Organic
download paystub,32,32,50,48,5.50,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.08,1390000,"[0,57,57,57,100,100,71,71,28,57,100,71]",2025-12-12,"Sitelinks, Video, Ads bottom, Related searches, AI overview",informational,Organic
rent payment receipts,33,38,110,25,1.57,https://www.xero.com/us/templates/receipt-template/rent-receipt-template/,0,0,0.00,1,26500000,"[2,2,10,14,18,10,4,43,100,43,29,14]",2026-01-20,"Sitelinks, Video, Related searches, AI overview",commercial,Organic
monthly pay stubs,15,15,50,48,8.33,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.35,7240000,"[18,18,18,100,100,100,18,18,18,18,100,18]",2026-01-14,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
quote sheets,35,35,170,24,4.71,https://www.xero.com/us/templates/quote-template/,0,0,0.00,0.6,67500000,"[17,17,23,53,43,53,35,35,100,43,66,35]",2026-01-05,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
rent invoice template word,66,66,480,24,2.31,https://www.xero.com/us/templates/invoice-template/rental-template/,0,0,0.00,0.52,4070000,"[30,24,24,30,62,55,45,30,30,20,10,16]",2025-12-17,"Image pack, Video, Image, Ads bottom, Related searches",informational,Organic
pay stub templates for word,33,33,90,43,5.36,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.07,524000,"[23,23,14,23,80,100,80,42,23,14,19,19]",2025-11-28,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
example of a receipt for cash,11,11,50,27,0.00,https://www.xero.com/us/templates/receipt-template/cash-receipt-template/,0,0,0.00,0.99,77500000,"[77,55,55,55,77,100,11,77,55,55,22,22]",2025-12-03,"Image pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches",informational,Organic
employee timesheet,71,71,720,58,8.44,https://www.xero.com/us/templates/timesheet-template/,0,0,0.00,0.93,8000000,"[8,13,13,24,24,24,16,24,34,34,44,44]",2026-01-07,"Image pack, Video, Ads bottom, People also ask, Related searches",informational,Organic
sample of money receipt format,14,14,40,23,2.21,https://www.xero.com/us/templates/receipt-template/cash-receipt-template/,0,0,0.00,0.96,31000000,"[45,45,63,27,9,63,45,45,18,18,18,18]",2026-01-17,"Image pack, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
sample of money receipt format,86,86,40,23,2.21,https://www.xero.com/us/templates/receipt-template/,0,0,0.00,0.96,31000000,"[45,45,63,27,9,63,45,45,18,18,18,18]",2026-01-17,"Image pack, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
free recipt maker,34,34,110,53,3.09,https://www.xero.com/us/templates/receipt-generator/,0,0,0.00,0.62,109000000,"[11,35,18,18,0,81,66,0,0,1,8,6]",2025-12-16,"Sitelinks, Ads top, Ads bottom, Related searches",informational,Organic
free recipt maker,54,54,110,53,3.09,https://www.xero.com/us/templates/receipt-generator/,0,0,0.00,0.62,109000000,"[11,35,18,18,0,81,66,0,0,1,8,6]",2025-12-16,"Sitelinks, Ads top, Ads bottom, Related searches",informational,Organic
blank check stubs,34,34,70,46,4.77,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.31,1990000,"[6,9,12,9,21,34,15,12,21,53,43,65]",2025-12-02,"Image pack, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
business plan for nonprofit template,26,26,90,36,4.12,https://www.xero.com/us/templates/business-plan-template/non-profit/,0,0,0.00,0.19,55300000,"[100,10,6,29,6,6,10,10,10,29,14,14]",2025-12-09,"Image pack, Sitelinks, Video, Ads bottom, Video Carousel, Related searches",informational,Organic
rent receipt example filled out,19,19,210,6,2.52,https://www.xero.com/us/templates/receipt-template/rent-receipt-template/,0,0,0.00,0.94,74000000,"[21,32,32,9,14,11,14,26,11,21,14,21]",2026-01-01,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview","informational, transactional",Organic
freelance writing invoice template,86,86,210,40,5.80,https://www.xero.com/us/templates/invoice-template/freelance-template/,0,0,0.00,0.24,200000,"[6,6,66,35,54,100,35,100,35,35,22,35]",2025-12-09,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
invoice templet,23,23,480,69,3.30,https://www.xero.com/us/templates/invoice-template/,0,0,0.00,0.7,135000000,"[11,13,37,16,46,20,52,11,20,20,25,25]",2025-11-30,"Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, Related searches",commercial,Organic
make paycheck stubs,42,42,720,50,13.02,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.82,10,"[20,100,55,7,8,34,7,5,24,5,16,24]",2025-11-19,"Knowledge panel, Image pack, Sitelinks, Video, Ads bottom, Related searches",informational,Organic
receipt online,67,67,140,49,3.08,https://www.xero.com/us/templates/receipt-generator/,0,0,0.00,0.58,344000000,"[5,16,16,20,10,2,16,8,10,5,10,13]",2025-12-10,"Sitelinks, Video, Ads bottom, People also ask, Related searches",commercial,Organic
business planning templates,37,37,170,64,4.10,https://www.xero.com/us/templates/business-plan-template/,0,0,0.00,0.53,328000000,"[0,2,14,35,54,35,43,35,35,35,43,43]",2025-12-22,"Image pack, Sitelinks, Video, Image, Related searches, Discussions and forums",informational,Organic
simple quote form,53,53,50,18,4.36,https://www.xero.com/us/templates/quote-template/,0,0,0.00,0.25,236000000,"[100,15,15,9,6,6,6,6,6,6,6,6]",2025-12-25,"Image pack, Video, Image, Video Carousel, Related searches",informational,Organic
paystubs maker free,30,30,70,49,9.74,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.92,230000,"[21,28,21,35,50,100,50,14,35,64,64,50]",2025-12-17,"Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches",commercial,Organic
what a paystub looks like,27,27,50,25,0.00,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.09,777000,"[9,0,0,18,18,18,100,100,100,100,18,18]",2025-12-24,"Sitelinks, Video, Image, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
fillable pdf invoice template,38,38,30,58,3.97,https://www.xero.com/us/templates/invoice-template/,0,0,0.00,0.8,247000,"[28,35,35,0,0,0,0,35,50,50,0,14]",2025-12-24,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
restaurant business plan templates,26,26,50,28,6.04,https://www.xero.com/us/templates/business-plan-template/restaurant/,0,0,0.00,0.37,22300000,"[7,64,78,7,35,14,35,35,50,28,28,35]",2025-12-26,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches",informational,Organic
editable balance sheet,7,7,30,31,4.46,https://www.xero.com/us/templates/balance-sheet-template/,0,0,0.00,0.52,2120000,"[100,18,18,18,18,18,18,18,18,18,18,18]",2025-12-01,"Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, Video Carousel, People also ask, Related searches",commercial,Image pack
employee time sheet form,23,23,90,32,5.10,https://www.xero.com/us/templates/timesheet-template/,0,0,0.00,1,130000000,"[0,0,0,2,10,2,5,2,5,100,82,53]",2026-01-08,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
download pay stubs,76,76,40,54,7.50,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.61,123000000,"[0,0,57,57,57,57,28,14,100,100,100,100]",2026-01-09,"Video, Video Carousel, People also ask, Related searches, Ads middle, AI overview",informational,Organic
recepit template,9,9,70,36,1.60,https://www.xero.com/us/templates/receipt-template/,0,0,0.00,1,173000000,"[0,20,0,0,0,0,0,0,0,0,0,30]",2026-01-13,"Image pack, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
online rent receipt,74,74,110,31,2.97,https://www.xero.com/us/templates/receipt-template/rent-receipt-template/,0,0,0.00,0.91,156000000,"[17,35,17,28,35,17,23,28,35,23,43,28]",2025-12-27,"Image pack, Video, Ads bottom, Related searches, Ads middle, AI overview",informational,Organic
invoice template to print,64,64,320,58,2.35,https://www.xero.com/us/templates/invoice-template/,0,0,0.00,1,22500000,"[32,14,48,21,88,11,17,17,9,21,72,26]",2026-01-05,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
editable printable receipt template,24,24,90,41,1.24,https://www.xero.com/us/templates/receipt-template/,0,0,0.00,1,1910000,"[11,11,11,11,11,64,64,64,64,64,64,100]",2025-11-29,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
donation receipt sample,17,16,110,19,1.93,https://www.xero.com/us/templates/receipt-template/donation-receipt/,0,0,0.00,1,13500000,"[29,19,6,23,6,9,6,29,1,6,29,4]",2026-01-20,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
create check stubs free,3,3,170,47,11.88,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.91,109000000,"[43,35,28,82,35,43,43,43,43,66,66,43]",2025-12-02,"Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, AI overview","commercial, informational",People also ask
create check stubs free,28,28,170,47,11.88,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.91,109000000,"[43,35,28,82,35,43,43,43,43,66,66,43]",2025-12-02,"Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, AI overview","commercial, informational",Organic
downloadable invoice pdf,17,17,70,52,4.49,https://www.xero.com/us/templates/invoice-template/,0,0,0.00,0.52,108000000,"[42,33,33,33,23,33,23,33,23,23,42,23]",2025-12-03,"Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, Related searches","commercial, informational",Organic
outline for business proposal,22,0,70,52,1.90,https://www.xero.com/us/templates/business-proposal-template/,0,0,0.00,0.29,110000000,"[0,21,50,78,50,28,14,28,100,64,64,28]",2026-01-21,"Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
outline for business proposal,29,0,70,52,1.90,https://www.xero.com/us/templates/business-proposal-template/,0,0,0.00,0.29,110000000,"[0,21,50,78,50,28,14,28,100,64,64,28]",2026-01-21,"Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
payment receipt templates,11,11,110,61,1.54,https://www.xero.com/us/templates/receipt-template/,0,0,0.00,0.87,52100000,"[29,19,23,15,0,5,4,4,5,5,19,19]",2025-12-02,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
free example of invoice template,29,29,140,62,3.49,https://www.xero.com/us/templates/invoice-template/,0,0,0.00,0.63,28000000,"[2,0,0,0,0,0,0,0,0,11,100,48]",2026-01-14,"Image pack, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
free example of invoice template,33,33,140,62,3.49,https://www.xero.com/us/templates/invoice-template/,0,0,0.00,0.63,28000000,"[2,0,0,0,0,0,0,0,0,11,100,48]",2026-01-14,"Image pack, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
free quote maker,40,40,590,49,4.54,https://www.xero.com/us/templates/quote-generator/,0,0,0.00,0.52,224000000,"[72,14,39,100,72,72,72,59,59,59,48,59]",2025-12-17,"Image pack, Sitelinks, Image, Ads bottom, Related searches, Discussions and forums",informational,Organic
receipt maker online,27,27,260,41,3.08,https://www.xero.com/us/templates/receipt-generator/,0,0,0.00,0.78,85500000,"[20,20,16,20,24,16,20,24,20,20,30,24]",2025-12-21,"Sitelinks, Video, Ads bottom, Related searches",informational,Organic
free printable invoice templates pdf,26,26,140,53,2.24,https://www.xero.com/us/templates/invoice-template/,0,0,0.00,0.68,23600000,"[35,43,35,35,28,35,35,28,35,35,23,17]",2025-12-25,"Image pack, Sitelinks, Image, Related searches",informational,Organic
sample quote format,48,48,70,25,0.00,https://www.xero.com/us/templates/quote-template/,0,0,0.00,0.03,121000000,"[7,7,7,7,26,42,53,34,15,15,11,100]",2025-12-12,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
salary check stub,36,36,50,57,6.56,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.52,841000,"[9,9,9,9,9,80,19,19,14,33,33,23]",2025-12-20,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
123 check stubs,47,47,140,24,5.60,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.79,1340000,"[43,43,35,43,43,17,43,43,53,35,35,28]",2025-12-27,"Sitelinks, Video, Related searches",navigational,Organic
create pay stubs online,46,46,1000,50,10.14,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.04,14100000,"[11,13,13,24,5,16,13,100,34,20,100,30]",2026-01-11,"Sitelinks, Video, Ads bottom, People also ask, Related searches, Discussions and forums",informational,Organic
free paystub generator adp,63,63,50,20,6.20,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.79,6380,"[18,18,18,100,63,63,63,63,36,63,63,63]",2025-12-06,"Sitelinks, Video, Ads bottom, Related searches","commercial, informational",Organic
stub builder,40,40,50,64,0.00,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.76,1380000,"[77,55,55,33,44,55,33,44,33,100,77,44]",2025-12-09,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
stub builder,49,49,50,64,0.00,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.76,1380000,"[77,55,55,33,44,55,33,44,33,100,77,44]",2025-12-09,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
sample quote template,38,38,320,26,3.05,https://www.xero.com/us/templates/quote-template/,0,0,0.00,0.65,106000000,"[19,19,29,44,54,81,36,29,15,19,100,23]",2025-12-25,"Image pack, Sitelinks, Image, Ads bottom, People also ask, Related searches",informational,Organic
fillable check stub,14,14,40,30,6.76,https://www.xero.com/us/templates/pay-stub-template/,0,0,0.00,0.38,33700,"[57,28,57,28,100,71,42,28,28,57,57,100]",2025-12-12,"Image pack, Sitelinks, Video, Ads bottom, Related searches, AI overview",informational,Organic
